@yaledailynews	RT @emmaplatoff: "We reclaim this space, hereby known as the residential college #FormerlyKnownAsCalhoun" student takes stage in front of the college	http://twitter.com/yaledailynews/status/726127122000007168	April 29, 2016 at 03:12PM
@bougeottee_	We will not be announcing a new name today. This is a space for reflection. - @NaiyaS1 #FormerlyKnownAsCalhoun	http://twitter.com/bougeottee_/status/726127147157430273	April 29, 2016 at 03:12PM
@GrahamWhite__	The fact that @Yale's decision to keep Calhoun was the result of a thorough process makes this worse, not better. #FormerlyKnownAsCalhoun	http://twitter.com/GrahamWhite__/status/726127148688375809	April 29, 2016 at 03:12PM
@GrahamWhite__	RT @klazc: #WrongMoveYale #StandwithUs #FormerlyKnownAsCalhoun https://t.co/vETPABCHxM	http://twitter.com/GrahamWhite__/status/726127513349591041	April 29, 2016 at 03:14PM
@bougeottee_	Yale freshman gives a blessing in her Native tongue for the Quinnipiac people unable to do so. #FormerlyKnownAsCalhoun	http://twitter.com/bougeottee_/status/726128295352373248	April 29, 2016 at 03:17PM
@bougeottee_	"This is the part where we're supposed to thank our donors... We are not beholden to financial masters." #FormerlyKnownAsCalhoun	http://twitter.com/bougeottee_/status/726128443109298177	April 29, 2016 at 03:18PM
@alondra	RT @bougeottee_: #FormerlyKnownAsCalhoun https://t.co/zeT11pNluX	http://twitter.com/alondra/status/726128459911729152	April 29, 2016 at 03:18PM
@bougeottee_	RT @GrahamWhite__: The fact that @Yale's decision to keep Calhoun was the result of a thorough process makes this worse, not better. #FormerlyKnownAsCalhoun	http://twitter.com/bougeottee_/status/726128496804769793	April 29, 2016 at 03:18PM
@bougeottee_	RT @emmaplatoff: "We reclaim this space, hereby known as the residential college #FormerlyKnownAsCalhoun" student takes stage in front of the college	http://twitter.com/bougeottee_/status/726128508762738688	April 29, 2016 at 03:18PM
@bougeottee_	#FormerlyKnownAsCalhoun https://t.co/HdIK6gr3m7	http://twitter.com/bougeottee_/status/726128613037330433	April 29, 2016 at 03:18PM
@bougeottee_	#FormerlyKnownAsCalhoun https://t.co/Jnyk0sWSQv	http://twitter.com/bougeottee_/status/726128686982909952	April 29, 2016 at 03:19PM
@alondra	RT @bougeottee_: #FormerlyKnownAsCalhoun https://t.co/HdIK6gr3m7	http://twitter.com/alondra/status/726128774606114816	April 29, 2016 at 03:19PM
@alondra	RT @bougeottee_: #FormerlyKnownAsCalhoun https://t.co/Jnyk0sWSQv	http://twitter.com/alondra/status/726128851580014592	April 29, 2016 at 03:19PM
@bougeottee_	We are here because of historical and ongoing injustice. It is our motivation to fight back.  #FormerlyKnownAsCalhoun	http://twitter.com/bougeottee_/status/726128922669268992	April 29, 2016 at 03:20PM
@bougeottee_	We are grateful people. We are not selfish. We are painfully self aware.  #FormerlyKnownAsCalhoun	http://twitter.com/bougeottee_/status/726128988540801025	April 29, 2016 at 03:20PM
@GLeBaron	"We are here because of historical and ongoing injustice.# - @Yale student #wrongmoveyale #FormerlyKnownAsCalhoun	http://twitter.com/GLeBaron/status/726129203742126081	April 29, 2016 at 03:21PM
@bougeottee_	"A break up letter for yale in response to the email on Wednesday" we need to talk... #FormerlyKnownAsCalhoun	http://twitter.com/bougeottee_/status/726129213225467905	April 29, 2016 at 03:21PM
@zengmeimei	RT @bougeottee_: #FormerlyKnownAsCalhoun https://t.co/Jnyk0sWSQv	http://twitter.com/zengmeimei/status/726129438455414785	April 29, 2016 at 03:22PM
@bougeottee_	I won't make this struggle pretty for you. Not marketable for you.  #FormerlyKnownAsCalhoun	http://twitter.com/bougeottee_/status/726129574527033344	April 29, 2016 at 03:22PM
@bougeottee_	Black nationals anthem being sung now #FormerlyKnownAsCalhoun	http://twitter.com/bougeottee_/status/726129789845819392	April 29, 2016 at 03:23PM
@iaiaintshakinm1	RT @fishstark: Together, we rid @Yale of what Calhoun represents. In the face of admin's failure, Calhoun will be #FormerlyKnownAsCalhoun #WrongMoveYale	http://twitter.com/iaiaintshakinm1/status/726129840064217088	April 29, 2016 at 03:23PM
@JTranen	@Yale students gather outside what used to be knows as Calhoun college. #FormerlyKnownAsCalhoun https://t.co/Pol0dS5gwB	http://twitter.com/JTranen/status/726130711233699841	April 29, 2016 at 03:27PM
@JTranen	.@Yale students staking crests with names of POC in what used to be known as Calhoun. #FormerlyKnownAsCalhoun https://t.co/BvnCXlcqBT	http://twitter.com/JTranen/status/726130912216387585	April 29, 2016 at 03:27PM
@oliviapaschal	#FormerlyKnownAsCalhoun https://t.co/0olpw1gdh0	http://twitter.com/oliviapaschal/status/726131161039261696	April 29, 2016 at 03:28PM
@JTranen	#FormerlyKnownAsCalhoun	http://twitter.com/JTranen/status/726131278186176512	April 29, 2016 at 03:29PM
@JTranen	#FormerlyKnownAsCalhoun https://t.co/fpHFe3T2mx	http://twitter.com/JTranen/status/726131544054751233	April 29, 2016 at 03:30PM
@bougeottee_	Student protestors file out to a round of applause.  #FormerlyKnownAsCalhoun	http://twitter.com/bougeottee_/status/726132041604018180	April 29, 2016 at 03:32PM
@NyashaJunior	RT @bougeottee_: #FormerlyKnownAsCalhoun https://t.co/zeT11pNluX	http://twitter.com/NyashaJunior/status/726132284055756800	April 29, 2016 at 03:33PM
@bougeottee_	RT @oliviapaschal: #FormerlyKnownAsCalhoun https://t.co/0olpw1gdh0	http://twitter.com/bougeottee_/status/726132441799364608	April 29, 2016 at 03:33PM
@bougeottee_	#FormerlyKnownAsCalhoun https://t.co/6UqE589PDm	http://twitter.com/bougeottee_/status/726132444735393792	April 29, 2016 at 03:34PM
@bougeottee_	RT @JTranen: .@Yale students staking crests with names of POC in what used to be known as Calhoun. #FormerlyKnownAsCalhoun https://t.co/BvnCXlcqBT	http://twitter.com/bougeottee_/status/726132486623891456	April 29, 2016 at 03:34PM
@dorothyk98	RT @bougeottee_: #FormerlyKnownAsCalhoun https://t.co/zeT11pNluX	http://twitter.com/dorothyk98/status/726132517359763456	April 29, 2016 at 03:34PM
@vietngoctrinh	"Hey, hey. Ho, ho. Calhoun's got to go!" #FormerlyKnownAsCalhoun	http://twitter.com/vietngoctrinh/status/726132611995807744	April 29, 2016 at 03:34PM
@vietngoctrinh	RT @oliviapaschal: #FormerlyKnownAsCalhoun https://t.co/0olpw1gdh0	http://twitter.com/vietngoctrinh/status/726132654496735232	April 29, 2016 at 03:34PM
@vietngoctrinh	RT @GrahamWhite__: The fact that @Yale's decision to keep Calhoun was the result of a thorough process makes this worse, not better. #FormerlyKnownAsCalhoun	http://twitter.com/vietngoctrinh/status/726132802396246017	April 29, 2016 at 03:35PM
@thelatinochild	RT @oliviapaschal: #FormerlyKnownAsCalhoun https://t.co/0olpw1gdh0	http://twitter.com/thelatinochild/status/726132809702772736	April 29, 2016 at 03:35PM
@JTranen	crests with names of POC, instead of Calhoun. #FormerlyKnownAsCalhoun https://t.co/2qfnwbpJwA	http://twitter.com/JTranen/status/726133022312026113	April 29, 2016 at 03:36PM
@bougeottee_	We out here. We been here. We ain't leaving. We are loved. 💪🏾✨ #FormerlyKnownAsCalhoun https://t.co/xVE0tbUe8n	http://twitter.com/bougeottee_/status/726133132475424768	April 29, 2016 at 03:36PM
@bougeottee_	RT @fishstark: Together, we rid @Yale of what Calhoun represents. In the face of admin's failure, Calhoun will be #FormerlyKnownAsCalhoun #WrongMoveYale	http://twitter.com/bougeottee_/status/726133146387881984	April 29, 2016 at 03:36PM
@vietngoctrinh	RT @bougeottee_: Students carrying residential college shields with names of prominent influential POC. Yale there were options.  #FormerlyKnownAsCalhoun	http://twitter.com/vietngoctrinh/status/726133155699286016	April 29, 2016 at 03:36PM
@vietngoctrinh	RT @StayDancingDave: When someone says Calhoun College and you like #FormerlyKnownAsCalhoun https://t.co/rMgCF5I22K	http://twitter.com/vietngoctrinh/status/726133176217817088	April 29, 2016 at 03:36PM
@oliviapaschal	#FormerlyKnownAsCalhoun #WrongMoveYale https://t.co/ZRbX9nnMG4	http://twitter.com/oliviapaschal/status/726133179212533760	April 29, 2016 at 03:36PM
@irlyennefer	RT @GrahamWhite__: The fact that @Yale's decision to keep Calhoun was the result of a thorough process makes this worse, not better. #FormerlyKnownAsCalhoun	http://twitter.com/irlyennefer/status/726133230450151424	April 29, 2016 at 03:37PM
@JamesRSchulte	RT @bougeottee_: #FormerlyKnownAsCalhoun https://t.co/zeT11pNluX	http://twitter.com/JamesRSchulte/status/726133414731075584	April 29, 2016 at 03:37PM
@maskbanana	RT @oliviapaschal: #FormerlyKnownAsCalhoun #WrongMoveYale https://t.co/ZRbX9nnMG4	http://twitter.com/maskbanana/status/726133748064866304	April 29, 2016 at 03:39PM
@mjbreuer	RT @JTranen: crests with names of POC, instead of Calhoun. #FormerlyKnownAsCalhoun https://t.co/2qfnwbpJwA	http://twitter.com/mjbreuer/status/726134354439733252	April 29, 2016 at 03:41PM
@year23	RT @JTranen: crests with names of POC, instead of Calhoun. #FormerlyKnownAsCalhoun https://t.co/2qfnwbpJwA	http://twitter.com/year23/status/726134731318935554	April 29, 2016 at 03:43PM
@katherinewolf	RT @oliviapaschal: #FormerlyKnownAsCalhoun #WrongMoveYale https://t.co/ZRbX9nnMG4	http://twitter.com/katherinewolf/status/726135155459543040	April 29, 2016 at 03:44PM
@ctschroeder	RT @oliviapaschal: #FormerlyKnownAsCalhoun https://t.co/0olpw1gdh0	http://twitter.com/ctschroeder/status/726135827412062208	April 29, 2016 at 03:47PM
@hubersamj	Reclaiming the college #FormerlyKnownAsCalhoun - unceasingly in awe… https://t.co/ASZed5jrlN	http://twitter.com/hubersamj/status/726136215452315648	April 29, 2016 at 03:48PM
@linds_combs	RT @bougeottee_: Together, we rid this campus of what Calhoun represents. In the face of administrative failure, Calhoun will now be #FormerlyKnownAsCalhoun	http://twitter.com/linds_combs/status/726136273786785792	April 29, 2016 at 03:49PM
@linds_combs	RT @oliviapaschal: #FormerlyKnownAsCalhoun https://t.co/0olpw1gdh0	http://twitter.com/linds_combs/status/726136414556065792	April 29, 2016 at 03:49PM
@anbutler5	See: #FormerlyKnownAsCalhoun	http://twitter.com/anbutler5/status/726136705741381632	April 29, 2016 at 03:50PM
@JGarden95	Thank you to the activists who continue to make a better Yale for all of us through their resiliency #FormerlyKnownAsCalhoun	http://twitter.com/JGarden95/status/726136793981149184	April 29, 2016 at 03:51PM
@alondra	RT @JTranen: crests with names of POC, instead of Calhoun. #FormerlyKnownAsCalhoun https://t.co/2qfnwbpJwA	http://twitter.com/alondra/status/726136832220606464	April 29, 2016 at 03:51PM
@MrHickoryHam	Also #formerlyknownascalhoun is too difficult to say. From now on I will call Calhoun college "white dude college"	http://twitter.com/MrHickoryHam/status/726136847051706368	April 29, 2016 at 03:51PM
@JGarden95	RT @oliviapaschal: #FormerlyKnownAsCalhoun #WrongMoveYale https://t.co/ZRbX9nnMG4	http://twitter.com/JGarden95/status/726136934557442048	April 29, 2016 at 03:51PM
@KatieChocklet	RT @JTranen: crests with names of POC, instead of Calhoun. #FormerlyKnownAsCalhoun https://t.co/2qfnwbpJwA	http://twitter.com/KatieChocklet/status/726137065516191746	April 29, 2016 at 03:52PM
@oliviapaschal	RT @JTranen: crests with names of POC, instead of Calhoun. #FormerlyKnownAsCalhoun https://t.co/2qfnwbpJwA	http://twitter.com/oliviapaschal/status/726137079424503809	April 29, 2016 at 03:52PM
@MimiEve_	RT @oliviapaschal: #FormerlyKnownAsCalhoun #WrongMoveYale https://t.co/ZRbX9nnMG4	http://twitter.com/MimiEve_/status/726137526046613505	April 29, 2016 at 03:54PM
@maxkutner	"In the face of administrative failure, Calhoun College will now be #FormerlyKnownAsCalhoun," Yale student org said	http://twitter.com/maxkutner/status/726137842276175876	April 29, 2016 at 03:55PM
@MimiEve_	#FormerlyKnownAsCalhoun	http://twitter.com/MimiEve_/status/726137880213622785	April 29, 2016 at 03:55PM
@ThatJBF	RT @JTranen: .@Yale students staking crests with names of POC in what used to be known as Calhoun. #FormerlyKnownAsCalhoun https://t.co/BvnCXlcqBT	http://twitter.com/ThatJBF/status/726138069305331712	April 29, 2016 at 03:56PM
@ThatJBF	RT @JTranen: @Yale students gather outside what used to be knows as Calhoun college. #FormerlyKnownAsCalhoun https://t.co/Pol0dS5gwB	http://twitter.com/ThatJBF/status/726138098678009856	April 29, 2016 at 03:56PM
@briallenhopper	"Our gratitude and our allegiance belong to those who love us." #FormerlyKnownAsCalhoun https://t.co/inUPb7e6hT	http://twitter.com/briallenhopper/status/726138358070677504	April 29, 2016 at 03:57PM
@ThatJBF	RT @maxkutner: "In the face of administrative failure, Calhoun College will now be #FormerlyKnownAsCalhoun," Yale student org said	http://twitter.com/ThatJBF/status/726138388957401089	April 29, 2016 at 03:57PM
@miguelp1120	RT @bougeottee_: We out here. We been here. We ain't leaving. We are loved. 💪🏾✨ #FormerlyKnownAsCalhoun https://t.co/xVE0tbUe8n	http://twitter.com/miguelp1120/status/726138514304319488	April 29, 2016 at 03:58PM
